ensembl_gene_id	description	external_gene_name	entrezgene_id	flc	p.value
AT1G21240	Wall-associated receptor kinase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMN8]	WAK3	838719	-2.06779014151525	2.04333935598305e-06
AT2G02950	Protein PHYTOCHROME KINASE SUBSTRATE 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SWI1]	PKS1	814823	0.84246367664486	2.18679753137698e-06
AT5G02780	Glutathione S-transferase L1 [Source:UniProtKB/Swiss-Prot;Acc:Q6NLB0]	GSTL1	831800	-0.84078227880115	2.54720906779212e-06
AT2G02010	glutamate decarboxylase 4 [Source:TAIR;Acc:AT2G02010]	GAD4	814732	-1.50600094068607	2.93400904988125e-06
AT2G45760	BON1-associated protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q58FX0]	BAP2	819184	-1.17014077932938	3.30358288698837e-06
AT1G76930	extensin 4 [Source:TAIR;Acc:AT1G76930]	ATEXT4	NA	-0.61652781999369	3.59724222765915e-06
AT3G27650	LOB domain-containing protein 25 [Source:UniProtKB/Swiss-Prot;Acc:Q8L8Q3]	LBD25	822387	0.754259463501307	4.01362109974371e-06
AT1G12805	Nucleotide binding protein [Source:UniProtKB/TrEMBL;Acc:Q3EDD5]		2745749	1.35516093141602	4.53941471819952e-06
AT1G64170	Cation/H(+) antiporter 16 [Source:UniProtKB/Swiss-Prot;Acc:Q1HDT3]	CHX16	842721	-0.528599894082003	6.53967043528545e-06
AT1G01560	Mitogen-activated protein kinase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM5]	MPK11	839523	-0.891583425363327	6.91982160916504e-06
AT4G10500	Protein DMR6-LIKE OXYGENASE 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSA8]	DLO1	826642	-0.651260648250059	7.05972744683575e-06
AT3G63380	Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A178VEV7]	ACA12	825513	-0.635196644901786	7.13951044266935e-06
AT3G53150	UDP-glucosyl transferase 73D1 [Source:TAIR;Acc:AT3G53150]	UGT73D1	NA	-0.59389189725783	7.24835768220874e-06
AT2G26040	Abscisic acid receptor PYL2 [Source:UniProtKB/Swiss-Prot;Acc:O80992]	PYL2	817145	1.02242900798182	8.80928440606595e-06
AT1G61480	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61480 [Source:UniProtKB/Swiss-Prot;Acc:O64771]		842442	-0.621282648089071	9.26951101222735e-06
AT1G01060	LHY1 [Source:UniProtKB/TrEMBL;Acc:A0A178W761]	LHY	839341	0.888803894979685	9.94164338366212e-06
AT1G64770	NDH-dependent cyclic electron flow 1 [Source:UniProtKB/TrEMBL;Acc:F4I890]	NDF2	842785	-1.91357214646382	1.01715396629096e-05
AT1G08090	High-affinity nitrate transporter 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O82811]	NRT2.1	837327	-0.640453182564569	1.11220750514531e-05
AT4G10510	Subtilisin-like protease SBT3.7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SZY2]	SBT3.7	826643	-0.620060258063839	1.23253323011834e-05
AT4G12550	Putative lipid-binding protein AIR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7I2]	AIR1	826868	-0.649324848093501	1.2648621752467e-05
AT4G11340	Disease resistance protein (TIR-NBS-LRR class) family [Source:UniProtKB/TrEMBL;Acc:Q9SUS7]		826736	-1.39433820751415	1.32049574425829e-05
AT3G07650	COL9 [Source:UniProtKB/TrEMBL;Acc:A0A384KVH3]	COL9	819956	-0.644413525496386	1.32666665520405e-05
AT5G22910	Cation/H(+) antiporter 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFB7]	CHX9	832355	-1.2526963999103	1.38216636432241e-05
AT5G60100	Pseudo-response regulator 3 [Source:UniProtKB/TrEMBL;Acc:F4JXG7]	PRR3	836132	-0.586853355256093	1.39161396574809e-05
AT3G08040	Protein DETOXIFICATION 43 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFB0]	DTX43	819995	-1.00886107355914	1.41169677719236e-05
AT5G26920	Calmodulin-binding protein 60 G [Source:UniProtKB/Swiss-Prot;Acc:F4K2R6]	CBP60G	832750	-0.520270336333926	1.47988236156835e-05
AT3G08970	TMS1 [Source:UniProtKB/TrEMBL;Acc:A0A178VJB6]	ERDJ3A	820049	-0.728776582244826	1.69859504598958e-05
AT3G53280	Cytochrome P450 71B5 [Source:UniProtKB/Swiss-Prot;Acc:O65784]	CYP71B5	824495	-1.44992138899086	2.08868936538075e-05
AT4G15248	B-box domain protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q1G3I2]	MIP1A	3769879	1.75193829321831	2.6273137079031e-05
AT4G14370	Disease resistance protein (TIR-NBS-LRR class) family [Source:TAIR;Acc:AT4G14370]		827081	-0.697296942615778	2.8252160064988e-05
