Species	Protein ID	Family	Genome/EST	Category
Arabidopsis thaliana	AT5G15540.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G16680.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G22260.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G24330.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G36670.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G36740.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G44800.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G53430.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G58610.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G60410.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G60410.2	PHD	Genome	Other
Arabidopsis thaliana	AT5G60410.3	PHD	Genome	Other
Arabidopsis thaliana	AT5G60410.4	PHD	Genome	Other
Arabidopsis thaliana	AT5G60410.5	PHD	Genome	Other
Arabidopsis thaliana	AT5G63900.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G46790.1	Pseudo ARR-B	Genome	Other
Arabidopsis thaliana	AT5G02810.1	Pseudo ARR-B	Genome	Other
Arabidopsis thaliana	AT5G24470.1	Pseudo ARR-B	Genome	Other
Arabidopsis thaliana	AT5G60100.1	Pseudo ARR-B	Genome	Other
Arabidopsis thaliana	AT5G61380.1	Pseudo ARR-B	Genome	Other
Arabidopsis thaliana	AT3G12280.1	RB	Genome	Other
Arabidopsis thaliana	AT2G32550.1	Rcd1-like	Genome	Other
Arabidopsis thaliana	AT3G20800.1	Rcd1-like	Genome	Other
Arabidopsis thaliana	AT5G12980.1	Rcd1-like	Genome	Other
Arabidopsis thaliana	AT1G01920.1	SET	Genome	Other
Arabidopsis thaliana	AT1G01920.2	SET	Genome	Other
Arabidopsis thaliana	AT1G02580.1	SET	Genome	Other
Arabidopsis thaliana	AT1G04050.1	SET	Genome	Other
Arabidopsis thaliana	AT1G14030.1	SET	Genome	Other
Arabidopsis thaliana	AT1G17770.1	SET	Genome	Other
Arabidopsis thaliana	AT1G24610.1	SET	Genome	Other
Arabidopsis thaliana	AT1G73100.1	SET	Genome	Other
Arabidopsis thaliana	AT1G76710.1	SET	Genome	Other
Arabidopsis thaliana	AT1G76710.2	SET	Genome	Other
Arabidopsis thaliana	AT1G77300.1	SET	Genome	Other
Arabidopsis thaliana	AT1G77300.2	SET	Genome	Other
Arabidopsis thaliana	AT2G05900.1	SET	Genome	Other
Arabidopsis thaliana	AT2G18850.1	SET	Genome	Other
Arabidopsis thaliana	AT2G22740.1	SET	Genome	Other
Arabidopsis thaliana	AT2G22740.2	SET	Genome	Other
Arabidopsis thaliana	AT2G23380.1	SET	Genome	Other
Arabidopsis thaliana	AT2G24740.1	SET	Genome	Other
Arabidopsis thaliana	AT2G33290.1	SET	Genome	Other
Arabidopsis thaliana	AT2G35160.1	SET	Genome	Other
Arabidopsis thaliana	AT2G44150.1	SET	Genome	Other
Arabidopsis thaliana	AT3G03750.1	SET	Genome	Other
Arabidopsis thaliana	AT3G03750.2	SET	Genome	Other
Arabidopsis thaliana	AT3G04380.1	SET	Genome	Other
Arabidopsis thaliana	AT3G04380.2	SET	Genome	Other
Arabidopsis thaliana	AT3G07670.1	SET	Genome	Other
Arabidopsis thaliana	AT3G55080.1	SET	Genome	Other
Arabidopsis thaliana	AT3G56570.1	SET	Genome	Other
Arabidopsis thaliana	AT3G59960.1	SET	Genome	Other
Arabidopsis thaliana	AT4G02020.1	SET	Genome	Other
Arabidopsis thaliana	AT4G13460.1	SET	Genome	Other
Arabidopsis thaliana	AT4G13460.2	SET	Genome	Other
Arabidopsis thaliana	AT4G15180.1	SET	Genome	Other
Arabidopsis thaliana	AT4G30860.1	SET	Genome	Other
Arabidopsis thaliana	AT5G04940.1	SET	Genome	Other
Arabidopsis thaliana	AT5G04940.2	SET	Genome	Other
Arabidopsis thaliana	AT5G13960.1	SET	Genome	Other
Arabidopsis thaliana	AT5G14260.1	SET	Genome	Other
Arabidopsis thaliana	AT5G14260.2	SET	Genome	Other
Arabidopsis thaliana	AT5G14260.3	SET	Genome	Other
Arabidopsis thaliana	AT5G17240.1	SET	Genome	Other
Arabidopsis thaliana	AT5G42400.1	SET	Genome	Other
Arabidopsis thaliana	AT5G43990.1	SET	Genome	Other
Arabidopsis thaliana	AT5G43990.2	SET	Genome	Other
Arabidopsis thaliana	AT5G43990.3	SET	Genome	Other
Arabidopsis thaliana	AT5G43990.4	SET	Genome	Other
Arabidopsis thaliana	AT1G02670.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G03750.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G05120.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G05490.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G08600.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G11100.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G48310.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G50410.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G61140.1	SNF2	Genome	Other
Arabidopsis thaliana	AT1G61140.2	SNF2	Genome	Other
Arabidopsis thaliana	AT1G61140.3	SNF2	Genome	Other
Arabidopsis thaliana	AT2G02090.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G13370.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G16390.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G18760.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G21450.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G28290.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G28290.2	SNF2	Genome	Other
Arabidopsis thaliana	AT2G28290.3	SNF2	Genome	Other
Arabidopsis thaliana	AT2G44980.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G44980.2	SNF2	Genome	Other
Arabidopsis thaliana	AT2G46020.1	SNF2	Genome	Other
Arabidopsis thaliana	AT2G46020.2	SNF2	Genome	Other
Arabidopsis thaliana	AT3G06010.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G06400.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G12810.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G16600.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G19210.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G20010.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G24340.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G42670.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G54280.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G54460.1	SNF2	Genome	Other
Arabidopsis thaliana	AT3G57300.1	SNF2	Genome	Other
Arabidopsis thaliana	AT4G31900.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G05130.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G07810.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G18620.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G18620.2	SNF2	Genome	Other
Arabidopsis thaliana	AT5G19310.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G20420.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G22750.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G43530.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G63950.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G66750.1	SNF2	Genome	Other
Arabidopsis thaliana	AT5G19910.1	SOH1	Genome	Other
Arabidopsis thaliana	AT1G31760.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT1G49520.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT2G14880.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT2G16480.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT2G18090.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT2G35605.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT3G01890.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT3G03590.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT3G19080.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT3G48600.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT4G22360.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT4G26810.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT4G26810.2	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT4G34290.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT5G08430.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT5G14170.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT5G63700.1	SWI/SNF-BAF60b	Genome	Other
Arabidopsis thaliana	AT1G62830.1	SWI/SNF-SWI3	Genome	Other
Arabidopsis thaliana	AT1G67370.1	SWI/SNF-SWI3	Genome	Other
Arabidopsis thaliana	AT3G10390.1	SWI/SNF-SWI3	Genome	Other
Arabidopsis thaliana	AT3G13682.1	SWI/SNF-SWI3	Genome	Other
Arabidopsis thaliana	AT4G16310.1	SWI/SNF-SWI3	Genome	Other
Arabidopsis thaliana	AT1G01640.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G01640.2	TRAF	Genome	Other
Arabidopsis thaliana	AT1G04390.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G05690.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G21780.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G21780.2	TRAF	Genome	Other
Arabidopsis thaliana	AT1G55760.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G64280.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G04740.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G05330.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G40440.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G40450.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G41370.1	TRAF	Genome	Other
Arabidopsis thaliana	AT2G46260.1	TRAF	Genome	Other
Arabidopsis thaliana	AT3G48360.1	TRAF	Genome	Other
Arabidopsis thaliana	AT3G56230.1	TRAF	Genome	Other
Arabidopsis thaliana	AT3G57130.1	TRAF	Genome	Other
Arabidopsis thaliana	AT3G61600.1	TRAF	Genome	Other
Arabidopsis thaliana	AT3G61600.2	TRAF	Genome	Other
Arabidopsis thaliana	AT4G04090.1	TRAF	Genome	Other
Arabidopsis thaliana	AT4G08455.1	TRAF	Genome	Other
Arabidopsis thaliana	AT4G19660.1	TRAF	Genome	Other
Arabidopsis thaliana	AT4G26120.1	TRAF	Genome	Other
Arabidopsis thaliana	AT5G13060.1	TRAF	Genome	Other
Arabidopsis thaliana	AT5G19330.1	TRAF	Genome	Other
Arabidopsis thaliana	AT5G19330.2	TRAF	Genome	Other
Arabidopsis thaliana	AT5G45110.1	TRAF	Genome	Other
Arabidopsis thaliana	AT5G48510.1	TRAF	Genome	Other
Arabidopsis thaliana	AT5G63160.1	TRAF	Genome	Other
Arabidopsis thaliana	AT1G01030.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G16640.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G20600.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G26680.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G28300.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G43950.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G49475.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G49480.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G16210.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G16210.2	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G24650.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G24680.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G24690.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G24700.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G30470.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G35310.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G36080.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G36080.2	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT2G46870.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G06160.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G06220.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G11580.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G11580.2	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G17010.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G18960.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G18990.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G19184.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G24650.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G26790.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G46770.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G53310.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT3G61970.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G00260.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G01500.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G01580.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G03170.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G21550.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31610.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31615.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31620.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31630.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31640.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31650.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31660.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31680.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G31690.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G32010.1	ABI3VP1	Genome	TF
